iter	Passed	Remaining
0	131	131059
1	132	66319
2	134	44724
3	136	34095
4	138	27607
5	140	23253
6	144	20449
7	146	18114
8	147	16274
9	149	14804
10	152	13743
11	154	12730
12	158	12045
13	161	11378
14	164	10816
15	170	10482
16	172	9986
17	175	9550
18	177	9175
19	179	8815
20	184	8599
21	186	8295
22	188	8023
23	192	7834
24	194	7591
25	196	7353
26	199	7195
27	201	6989
28	203	6797
29	204	6617
30	206	6446
31	207	6288
32	209	6152
33	212	6029
34	214	5903
35	215	5776
36	217	5668
37	219	5558
38	221	5451
39	222	5349
40	224	5252
41	227	5192
42	229	5105
43	230	5017
44	232	4937
45	234	4861
46	236	4786
47	237	4714
48	239	4651
49	242	4611
50	244	4547
51	245	4484
52	247	4423
53	249	4364
54	250	4309
55	252	4255
56	254	4203
57	255	4152
58	257	4106
59	259	4061
60	260	4016
61	262	3974
62	264	3934
63	266	3901
64	268	3861
65	271	3842
66	273	3805
67	275	3771
68	276	3735
69	278	3705
70	280	3672
71	282	3639
72	284	3607
73	285	3577
74	287	3547
75	289	3519
76	291	3490
77	293	3463
78	294	3437
79	296	3411
80	300	3403
81	301	3378
82	302	3344
83	304	3319
84	306	3296
85	307	3272
86	309	3250
87	311	3227
88	313	3213
89	315	3191
90	317	3170
91	319	3150
92	320	3129
93	323	3122
94	326	3106
95	329	3106
96	332	3096
97	334	3081
98	345	3147
99	348	3136
100	357	3179
101	360	3170
102	362	3157
103	364	3143
104	367	3128
105	369	3118
106	371	3104
107	374	3089
108	377	3088
109	379	3074
110	381	3059
111	388	3079
112	393	3090
113	396	3081
114	398	3067
115	401	3060
116	404	3050
117	408	3051
118	410	3038
119	412	3026
120	414	3012
121	416	2995
122	418	2983
123	420	2970
124	426	2982
125	428	2972
126	430	2957
127	432	2947
128	435	2938
129	439	2943
130	441	2928
131	443	2913
132	444	2898
133	446	2884
134	448	2870
135	449	2856
136	451	2844
137	454	2839
138	456	2825
139	457	2812
140	459	2799
141	460	2782
142	462	2769
143	463	2757
144	465	2744
145	469	2743
146	470	2732
147	472	2721
148	474	2709
149	476	2698
150	477	2686
151	479	2674
152	481	2663
153	483	2657
154	485	2646
155	487	2635
156	488	2624
157	490	2612
158	492	2602
159	493	2591
160	495	2580
161	498	2577
162	499	2567
163	501	2557
164	503	2547
165	505	2538
166	506	2528
167	508	2520
168	510	2511
169	513	2509
170	515	2500
171	517	2491
172	519	2484
173	521	2476
174	523	2466
175	524	2457
176	529	2460
177	530	2450
178	532	2441
179	534	2432
180	535	2425
181	537	2417
182	539	2408
183	542	2407
184	544	2398
185	546	2389
186	547	2381
187	549	2373
188	551	2365
189	552	2356
190	554	2347
191	557	2346
192	559	2338
193	560	2330
194	563	2324
195	565	2318
196	567	2311
197	569	2305
198	572	2305
199	574	2299
200	577	2293
201	579	2287
202	581	2282
203	583	2276
204	585	2270
205	589	2271
206	596	2285
207	598	2279
208	600	2273
209	604	2273
210	606	2268
211	608	2263
212	611	2257
213	613	2252
214	615	2247
215	619	2248
216	621	2243
217	623	2237
218	625	2231
219	627	2225
220	629	2220
221	631	2214
222	636	2216
223	638	2211
224	640	2206
225	642	2201
226	644	2196
227	647	2191
228	651	2192
229	653	2187
230	655	2181
231	657	2177
232	659	2171
233	661	2166
234	666	2168
235	668	2162
236	670	2157
237	672	2152
238	674	2146
239	676	2141
240	678	2136
241	682	2136
242	684	2131
243	686	2126
244	688	2121
245	690	2116
246	696	2122
247	698	2117
248	699	2110
249	701	2104
250	703	2099
251	705	2093
252	706	2087
253	708	2081
254	711	2078
255	713	2072
256	714	2066
257	716	2061
258	718	2055
259	720	2050
260	722	2044
261	723	2039
262	726	2036
263	728	2031
264	730	2025
265	732	2019
266	733	2014
267	735	2008
268	737	2003
269	739	1998
270	741	1994
271	743	1989
272	744	1983
273	746	1978
274	748	1973
275	750	1968
276	752	1963
277	754	1958
278	756	1954
279	757	1948
280	759	1943
281	761	1937
282	762	1932
283	764	1927
284	766	1922
285	767	1916
286	771	1915
287	772	1910
288	774	1904
289	776	1900
290	777	1894
291	779	1889
292	781	1884
293	782	1879
294	785	1877
295	787	1872
296	789	1867
297	791	1864
298	793	1859
299	794	1854
300	796	1849
301	798	1844
302	800	1842
303	802	1837
304	804	1832
305	805	1827
306	807	1823
307	809	1818
308	811	1813
309	812	1808
310	815	1807
311	817	1802
312	819	1798
313	821	1794
314	823	1789
315	824	1785
316	826	1780
317	828	1776
318	831	1774
319	833	1771
320	835	1768
321	838	1765
322	839	1760
323	841	1756
324	843	1751
325	847	1751
326	849	1747
327	851	1744
328	853	1741
329	855	1737
330	857	1732
331	860	1731
332	862	1728
333	865	1725
334	867	1722
335	869	1717
336	870	1713
337	872	1708
338	876	1708
339	878	1705
340	880	1701
341	882	1697
342	883	1692
343	885	1688
344	887	1684
345	888	1680
346	892	1679
347	894	1676
